can_id,count,msgs_per_sec,percentage,unique_data,dlc,sample_data
025,29009,46.59467868852317,7.255986833219108,2766,8,0F FD 00 02 78 78 78 A3
020,29005,46.58825383021181,7.254986317953746,1,7,00 00 07 00 00 00 2E 00
0AA,29005,46.58825383021181,7.254986317953746,26677,8,1F 35 1F 48 1F 3C 1F 41
024,29005,46.58825383021181,7.254986317953746,18438,8,01 FF 02 0B 61 F8 80 12
387,17484,28.08305567893202,4.373252224895821,1,8,00 00 00 00 00 00 3F 3F
38E,17484,28.08305567893202,4.373252224895821,1,8,20 60 00 00 00 00 00 00
443,17484,28.08305567893202,4.373252224895821,1,8,4D 02 00 20 05 00 00 00
2C7,14838,23.833011905970793,3.7114113768590826,1,1,00 00 00 00 00 00 00 00
1C4,14837,23.831405691392952,3.711161248042742,7737,8,04 BE 14 08 3F 00 C0 AA
0B4,14503,23.294930022394823,3.627618223385044,12849,8,00 00 00 00 14 04 EC C0
223,14503,23.294930022394823,3.627618223385044,5,8,00 00 00 00 00 00 00 2D
237,14502,23.293323807816986,3.6273680945687032,824,6,FC CD F0 60 00 58 00 00
228,14502,23.293323807816986,3.6273680945687032,1,4,00 00 00 2E 00 00 00 00
224,14502,23.293323807816986,3.6273680945687032,181,8,20 00 00 00 00 0E 00 08
0BA,14502,23.293323807816986,3.6273680945687032,1,4,00 00 00 BE 00 00 00 00
1D0,11009,17.68281628742637,2.753668139091632,6595,8,08 60 10 00 00 00 00 51
2C1,11008,17.68121007284853,2.753418010275292,10210,8,08 05 DC 06 55 EE 00 FD
2C6,11008,17.68121007284853,2.753418010275292,1,8,00 00 00 00 00 00 00 D0
2E1,10887,17.486858108930047,2.7231524234981013,1,1,00 00 00 00 00 00 00 00
340,7261,11.66272404968688,1.8161853354477557,1,8,00 00 00 00 00 00 00 4B
320,7251,11.646661903908493,1.8136840472843516,1,8,00 00 00 00 00 00 00 2B
1AA,7251,11.646661903908493,1.8136840472843516,1,6,00 00 00 00 00 B1 00 00
361,5417,8.700864368152297,1.3549477981160298,2073,8,00 23 00 00 C0 00 0C 00
6D0,4696,7.542783657530586,1.1746049215345902,1,8,D5 00 00 00 00 00 00 00
389,1957,3.143361928830357,0.48950209357819274,1,8,00 00 00 00 00 00 00 00
7E8,1892,3.038957981270841,0.4732437205160657,410,8,04 41 0C 0E E7 00 00 00
620,1615,2.5940365432095183,0.40395803838977073,39,8,10 00 00 2E B0 40 00 00
3F9,1399,2.2470941943963565,0.349930214060241,1,8,56 78 12 41 00 00 00 25
3D0,1399,2.2470941943963565,0.349930214060241,68,1,0E 00 00 00 00 00 00 00
394,1165,1.8712399831820983,0.29140007103658383,1,1,00 00 00 00 00 00 00 00
3B7,1160,1.8632089102929046,0.2901494269548818,1,8,00 00 00 00 00 00 00 00
610,995,1.5981835049495174,0.24887817225871323,69,8,20 00 0D 54 C0 00 00 00
440,977,1.5692716425484206,0.24437585356458577,7,8,40 01 00 15 02 00 00 00
442,976,1.5676654279705817,0.24412572474824534,7,8,42 01 00 10 06 00 00 00
63B,952,1.5291162781024528,0.23812263315607538,952,8,16 00 33 0F 00 00 03 83
49C,699,1.1227439899092588,0.1748400426219503,263,8,7E 04 00 00 00 01 01 00
49D,699,1.1227439899092588,0.1748400426219503,515,8,38 00 00 3F 58 17 24 24
49A,699,1.1227439899092588,0.1748400426219503,211,8,00 00 00 00 00 00 25 25
49E,699,1.1227439899092588,0.1748400426219503,514,8,A6 10 06 34 7B 06 06 00
499,699,1.1227439899092588,0.1748400426219503,691,8,23 02 3F 08 EE 03 02 03
498,699,1.1227439899092588,0.1748400426219503,690,8,40 04 C1 14 B1 0E 00 00
4A7,699,1.1227439899092588,0.1748400426219503,637,8,A8 A7 01 01 74 74 40 43
4A8,699,1.1227439899092588,0.1748400426219503,201,8,FF FF FF FF 02 82 64 30
49B,699,1.1227439899092588,0.1748400426219503,260,8,FA 31 5A 00 00 0C 0C 09
49F,699,1.1227439899092588,0.1748400426219503,250,8,1F FF 00 00 01 07 20 00
3B3,682,1.0954383420860008,0.17058785274416324,614,3,04 C5 28 00 00 00 00 00
3D3,666,1.0697389088405815,0.1665857916827166,554,2,03 44 00 00 00 00 00 00
638,518,0.8320191513204522,0.12956672686433515,9,8,13 00 00 00 AA 00 00 00
621,514,0.8255942930090974,0.12856621159897347,5,8,11 00 00 00 00 00 00 00
626,514,0.8255942930090974,0.12856621159897347,10,8,1C 00 01 00 00 00 00 00
639,512,0.8223818638534199,0.12806595396629264,6,8,14 00 00 00 00 00 00 00
611,512,0.8223818638534199,0.12806595396629264,5,8,21 00 00 20 00 01 94 06
6D1,512,0.8223818638534199,0.12806595396629264,1,8,D6 00 50 00 00 00 00 00
63A,512,0.8223818638534199,0.12806595396629264,3,8,15 00 08 00 00 00 00 00
624,511,0.8207756492755812,0.12781582514995224,1,8,1A 00 41 00 55 40 FF 00
622,511,0.8207756492755812,0.12781582514995224,1,8,12 00 00 00 00 00 00 08
623,511,0.8207756492755812,0.12781582514995224,1,8,19 00 00 00 00 00 00 00
680,511,0.8207756492755812,0.12781582514995224,1,8,D8 00 01 00 00 00 00 00
434,416,0.6681852643809038,0.10405358759761278,1,8,41 40 00 C0 00 00 00 00
435,416,0.6681852643809038,0.10405358759761278,1,8,80 05 05 FF E0 2F 00 03
2FC,416,0.6681852643809038,0.10405358759761278,2,8,80 00 00 00 00 00 20 00
4C1,384,0.616786397890065,0.09604946547471949,1,8,01 00 29 05 00 00 00 00
7C8,377,0.605542895845194,0.09429856376033657,38,8,03 61 29 2C 00 00 00 00
4C3,375,0.6023304666895166,0.09379830612765573,1,8,03 00 17 07 00 00 00 00
4C4,372,0.5975118229560005,0.09304791967863449,1,8,05 00 09 02 00 00 00 00
4C6,364,0.5846621063332907,0.09104688914791118,1,8,07 00 02 00 00 00 00 00
4C7,360,0.5782372480219359,0.09004637388254952,1,8,08 00 01 21 00 00 00 00
617,355,0.5702061751327424,0.08879572980084743,57,8,2C 00 00 00 00 FC FF FF
3BB,352,0.5653875313992263,0.08804534335182619,116,4,01 00 34 00 00 00 00 00
4DC,350,0.5621751022435488,0.08754508571914536,1,8,1D 00 04 02 00 00 00 00
380,350,0.5621751022435488,0.08754508571914536,1,8,00 00 09 00 00 00 0D 00
3B0,350,0.5621751022435488,0.08754508571914536,1,6,00 00 00 39 00 08 00 00
3B1,350,0.5621751022435488,0.08754508571914536,1,8,00 00 00 01 00 08 00 00
38C,349,0.5605688876657101,0.08729495690280495,1,8,08 00 00 00 00 00 39 38
